col1,col2,col3,col4,col5,col6,col7,col8
a,d,s,d,s,d,as,d
a,d,s,d,s,d,as,d
a,d,s,d,s,d,as,d
a,d,s,d,s,d,as,d
a,d,s,d,s,d,as,d
a,d,s,d,s,d,as,d
a,d,s,d,s,d,as,d
a,d,s,d,s,d,as,d
a,d,s,d,s,d,as,d
a,d,s,d,s,d,as,d
a,d,s,d,s,d,as,d
a,d,s,d,s,d,as,d
a,d,s,d,s,d,as,d
a,d,s,d,s,d,as,d
a,d,s,d,s,d,as,d
a,d,s,d,s,d,as,d
a,d,s,d,s,d,as,d
a,d,s,d,s,d,as,d
a,d,s,d,s,d,as,d
a,d,s,d,s,d,as,d
a,d,s,d,s,d,as,d
a,d,s,d,s,d,as,d
a,d,s,d,s,d,as,d
a,d,s,d,s,d,as,d
a,d,s,d,s,d,as,d
a,d,s,d,s,d,as,d
a,d,s,d,s,d,as,d
a,d,s,d,s,d,as,d
a,d,s,d,s,d,as,d
a,d,s,d,s,d,as,d
a,d,s,d,s,d,as,d
a,d,s,d,s,d,as,d
a,d,s,d,s,d,as,d
a,d,s,d,s,d,as,d
